2022-02-17 10:03:07,648 - 
2022-02-17 10:03:07,649 -   Loss en el conjunto de entrenamiento: 2.6207748716059758
2022-02-17 10:03:07,649 -   Tiempo de entrenamiento: 0:26:32
2022-02-17 10:03:07,650 - 
2022-02-17 10:03:07,650 - Evaluando.....
2022-02-17 10:04:10,914 -               precision    recall  f1-score   support
weighted avg       0.51      0.56      0.52      8752

2022-02-17 10:04:10,915 - Micro F1-Score en conjunto de validación: 0.5557586837294333
2022-02-17 10:04:10,915 - Loss en el conjunto de validación: 1.6624506005584867
2022-02-17 10:04:10,915 - 
2022-02-17 10:30:30,910 - 
2022-02-17 10:30:30,910 -   Loss en el conjunto de entrenamiento: 1.500550817950622
2022-02-17 10:30:30,910 -   Tiempo de entrenamiento: 0:26:20
2022-02-17 10:30:30,911 - 
2022-02-17 10:30:30,911 - Evaluando.....
2022-02-17 10:31:27,485 -               precision    recall  f1-score   support

           0       0.53      0.57      0.55       447
           1       0.85      0.79      0.82        29
           2       0.75      0.68      0.71        82
           3       0.43      0.53      0.48        81
           4       0.00      0.00      0.00        19
           5       0.00      0.00      0.00        12
           6       0.39      0.44      0.41       110
           7       0.80      0.62      0.70        13
           8       0.49      0.60      0.54        40
           9       0.00      0.00      0.00        13
          10       0.00      0.00      0.00        22
          11       0.75      0.67      0.71       275
          12       0.53      0.43      0.47        49
          13       0.00      0.00      0.00        20
          14       0.00      0.00      0.00        18
          15       0.86      0.75      0.80        16
          16       0.57      0.67      0.62        12
          17       0.48      0.66      0.56        71
          18       0.00      0.00      0.00         8
          19       0.00      0.00      0.00        12
          20       0.00      0.00      0.00        39
          21       0.49      0.71      0.58       265
          22       0.67      0.12      0.21        16
          23       0.80      0.44      0.57         9
          24       0.59      0.66      0.62        83
          25       0.00      0.00      0.00        14
          26       0.00      0.00      0.00        21
          27       0.28      0.31      0.30        61
          28       0.69      0.73      0.71       221
          29       0.45      0.69      0.55       104
          30       0.62      0.50      0.55        42
          31       0.65      0.52      0.58       353
          32       0.73      0.54      0.62       165
          33       0.51      0.82      0.63       435
          34       0.50      0.64      0.56       316
          35       0.73      0.42      0.53        19
          36       0.14      0.03      0.05        32
          37       0.86      0.65      0.74        57
          38       0.57      0.53      0.55        40
          39       0.73      0.65      0.69        17
          40       0.65      0.56      0.60        36
          41       0.40      0.14      0.21        42
          42       0.83      0.26      0.40        19
          43       0.75      0.75      0.75        32
          44       0.20      0.32      0.25        25
          45       0.71      0.63      0.67       126
          46       0.50      0.17      0.25        36
          47       0.67      0.75      0.71       272
          48       0.00      0.00      0.00        11
          49       0.90      0.83      0.86        46
          50       0.45      0.33      0.38        30
          51       0.54      0.55      0.55       142
          52       0.00      0.00      0.00        10
          53       0.56      0.63      0.59        62
          54       0.63      0.60      0.62       241
          55       0.76      0.70      0.73        64
          56       0.71      0.26      0.38        19
          57       0.00      0.00      0.00        10
          58       0.00      0.00      0.00        15
          59       0.78      0.70      0.74        66
          60       0.79      0.60      0.68        68
          61       0.00      0.00      0.00         9
          62       0.64      0.85      0.73        27
          63       0.51      0.61      0.55        62
          64       0.00      0.00      0.00        18
          65       0.78      0.68      0.73       145
          66       0.51      0.68      0.58        92
          67       0.44      0.61      0.51        79
          68       0.65      0.56      0.60       224
          69       0.00      0.00      0.00        10
          70       0.37      0.28      0.32       799
          71       0.57      0.67      0.61       439
          72       0.28      0.26      0.27        42
          73       0.00      0.00      0.00        24
          74       0.00      0.00      0.00        13
          75       0.65      0.44      0.52        64
          76       0.00      0.00      0.00        84
          77       0.34      0.19      0.25        67
          78       0.60      0.88      0.72       327
          79       0.97      1.00      0.98        56
          80       0.00      0.00      0.00        41
          81       0.73      0.78      0.75      1100

    accuracy                           0.59      8752
   macro avg       0.44      0.41      0.41      8752
weighted avg       0.56      0.59      0.56      8752

2022-02-17 10:31:27,486 - Micro F1-Score en conjunto de validación: 0.5864945155393053
2022-02-17 10:31:27,486 - Loss en el conjunto de validación: 1.43358888493432
2022-02-17 10:31:27,486 - 
2022-02-17 10:56:40,826 - 
2022-02-17 10:56:40,826 -   Loss en el conjunto de entrenamiento: 1.3071399065977123
2022-02-17 10:56:40,826 -   Tiempo de entrenamiento: 0:25:13
2022-02-17 10:56:40,827 - 
2022-02-17 10:56:40,827 - Evaluando.....
2022-02-17 10:57:37,468 -               precision    recall  f1-score   support

           0       0.47      0.63      0.54       447
           1       0.89      0.86      0.88        29
           2       0.68      0.71      0.69        82
           3       0.43      0.52      0.47        81
           4       0.00      0.00      0.00        19
           5       1.00      0.25      0.40        12
           6       0.38      0.47      0.42       110
           7       0.82      0.69      0.75        13
           8       0.51      0.57      0.54        40
           9       0.00      0.00      0.00        13
          10       1.00      0.09      0.17        22
          11       0.69      0.68      0.68       275
          12       0.53      0.49      0.51        49
          13       0.00      0.00      0.00        20
          14       0.00      0.00      0.00        18
          15       0.92      0.75      0.83        16
          16       1.00      0.75      0.86        12
          17       0.54      0.65      0.59        71
          18       0.00      0.00      0.00         8
          19       0.00      0.00      0.00        12
          20       0.11      0.03      0.04        39
          21       0.56      0.66      0.60       265
          22       0.60      0.19      0.29        16
          23       0.67      0.67      0.67         9
          24       0.54      0.75      0.63        83
          25       0.00      0.00      0.00        14
          26       0.00      0.00      0.00        21
          27       0.30      0.30      0.30        61
          28       0.57      0.76      0.65       221
          29       0.52      0.68      0.59       104
          30       0.55      0.50      0.53        42
          31       0.63      0.54      0.58       353
          32       0.68      0.56      0.62       165
          33       0.53      0.81      0.64       435
          34       0.59      0.55      0.57       316
          35       0.75      0.47      0.58        19
          36       0.29      0.12      0.17        32
          37       0.86      0.65      0.74        57
          38       0.67      0.50      0.57        40
          39       0.73      0.65      0.69        17
          40       0.67      0.44      0.53        36
          41       0.33      0.26      0.29        42
          42       0.83      0.53      0.65        19
          43       0.74      0.78      0.76        32
          44       0.21      0.36      0.27        25
          45       0.71      0.62      0.66       126
          46       0.47      0.22      0.30        36
          47       0.72      0.75      0.73       272
          48       1.00      0.55      0.71        11
          49       0.95      0.83      0.88        46
          50       0.43      0.40      0.41        30
          51       0.53      0.58      0.55       142
          52       1.00      0.30      0.46        10
          53       0.54      0.68      0.60        62
          54       0.65      0.58      0.61       241
          55       0.80      0.67      0.73        64
          56       0.60      0.32      0.41        19
          57       1.00      0.10      0.18        10
          58       0.00      0.00      0.00        15
          59       0.72      0.71      0.72        66
          60       0.82      0.59      0.68        68
          61       0.00      0.00      0.00         9
          62       0.70      0.85      0.77        27
          63       0.56      0.60      0.58        62
          64       0.00      0.00      0.00        18
          65       0.84      0.67      0.74       145
          66       0.50      0.66      0.57        92
          67       0.55      0.52      0.54        79
          68       0.65      0.56      0.60       224
          69       0.00      0.00      0.00        10
          70       0.38      0.31      0.34       799
          71       0.61      0.64      0.63       439
          72       0.35      0.31      0.33        42
          73       0.33      0.04      0.07        24
          74       0.00      0.00      0.00        13
          75       0.52      0.52      0.52        64
          76       0.50      0.02      0.05        84
          77       0.40      0.25      0.31        67
          78       0.67      0.84      0.75       327
          79       0.97      1.00      0.98        56
          80       0.00      0.00      0.00        41
          81       0.71      0.80      0.75      1100

    accuracy                           0.59      8752
   macro avg       0.52      0.44      0.46      8752
weighted avg       0.58      0.59      0.58      8752

2022-02-17 10:57:37,469 - Micro F1-Score en conjunto de validación: 0.5928930530164533
2022-02-17 10:57:37,469 - Loss en el conjunto de validación: 1.385231193134619
2022-02-17 10:57:37,469 - 
2022-02-17 10:57:37,632 - 
2022-02-17 10:57:37,632 - Evaluando.....
2022-02-17 10:58:34,357 -               precision    recall  f1-score   support

           0       0.45      0.64      0.53       440
           1       0.53      0.48      0.50        21
           2       0.62      0.69      0.65        77
           3       0.44      0.58      0.50        65
           4       0.00      0.00      0.00        10
           5       0.67      0.25      0.36         8
           6       0.32      0.34      0.33        88
           7       0.50      0.60      0.55        10
           8       0.64      0.54      0.59        50
           9       0.00      0.00      0.00         7
          10       1.00      0.15      0.26        20
          11       0.65      0.65      0.65       263
          12       0.59      0.65      0.62        51
          13       0.00      0.00      0.00        13
          14       1.00      0.04      0.08        23
          15       0.86      0.95      0.90        19
          16       0.78      0.90      0.84        20
          17       0.56      0.67      0.61        66
          18       0.00      0.00      0.00        12
          19       0.00      0.00      0.00         8
          20       0.15      0.05      0.07        44
          21       0.47      0.65      0.55       246
          22       0.42      0.17      0.24        29
          23       0.86      0.50      0.63        12
          24       0.53      0.59      0.56        71
          25       0.12      0.05      0.07        19
          26       0.00      0.00      0.00        30
          27       0.48      0.34      0.40        88
          28       0.56      0.65      0.60       234
          29       0.48      0.57      0.52        89
          30       0.64      0.61      0.62        38
          31       0.57      0.51      0.54       329
          32       0.58      0.52      0.55       159
          33       0.57      0.83      0.68       501
          34       0.57      0.56      0.56       315
          35       0.90      0.53      0.67        17
          36       0.20      0.07      0.10        30
          37       0.86      0.70      0.77        60
          38       0.67      0.49      0.56        45
          39       0.65      0.76      0.70        17
          40       0.55      0.59      0.57        27
          41       0.62      0.29      0.39        45
          42       0.40      0.25      0.31        16
          43       0.70      0.80      0.75        35
          44       0.38      0.62      0.47        29
          45       0.72      0.67      0.69       124
          46       0.33      0.29      0.31        17
          47       0.72      0.72      0.72       303
          48       1.00      0.33      0.50         9
          49       0.61      0.67      0.64        21
          50       0.38      0.40      0.39        30
          51       0.46      0.61      0.52       119
          52       0.33      0.08      0.12        13
          53       0.51      0.63      0.57        71
          54       0.66      0.68      0.67       225
          55       0.72      0.61      0.66        62
          56       0.71      0.59      0.65        17
          57       0.00      0.00      0.00        12
          58       0.00      0.00      0.00        14
          59       0.71      0.68      0.69        71
          60       0.81      0.66      0.72        70
          61       0.00      0.00      0.00         7
          62       0.77      0.79      0.78        42
          63       0.59      0.52      0.55        66
          64       0.00      0.00      0.00        13
          65       0.84      0.57      0.68       134
          66       0.57      0.70      0.63       113
          67       0.45      0.46      0.46        52
          68       0.72      0.60      0.65       247
          69       0.00      0.00      0.00        10
          70       0.39      0.30      0.34       851
          71       0.63      0.61      0.62       458
          72       0.35      0.45      0.40        44
          73       0.00      0.00      0.00        20
          74       0.00      0.00      0.00        12
          75       0.60      0.53      0.56        74
          76       0.60      0.04      0.07        78
          77       0.42      0.31      0.35        65
          78       0.65      0.82      0.73       303
          79       1.00      1.00      1.00        48
          80       0.00      0.00      0.00        45
          81       0.74      0.81      0.77      1097

    accuracy                           0.59      8753
   macro avg       0.49      0.44      0.44      8753
weighted avg       0.58      0.59      0.57      8753

